 |-Pesticide|                        1               2               3               4               5               6
    # Name                        PSOL            PHLS            PHLF            PWOF            PKOC            PCST
    1 2,4-D                   1.00E+03        1.00E+01        9.00E+00        4.00E-01        7.40E+01        0.00E+00
    2 2,4,5-T                 2.30E+02        1.20E+01        9.00E+00        4.00E-01        8.50E+01        0.00E+00
    3 Aatrex                  3.30E+01        6.00E+01        5.00E+00        4.00E-01        8.00E+01        0.00E+00
    4 Abate                   0.00E+00        3.00E+01        5.00E+00        6.00E-01        1.00E+06        0.00E+00
    5 Acaraben                1.30E+01        2.00E+01        1.00E+01        1.00E-01        2.00E+03        0.00E+00
    6 Accelerate              1.00E+05        7.00E+00        7.00E+00        9.00E-01        2.00E+01        0.00E+00
    7 Acclaim                 8.00E-01        9.00E+00        5.00E+00        2.00E-01        9.49E+03        0.00E+00
    8 Actellic                9.00E+00        1.00E+01        9.90E+01        1.00E+00        1.00E+03        0.00E+00
    9 Alanap                  2.31E+05        1.40E+01        7.00E+00        9.00E-01        2.00E+01        0.00E+00
   10 Alar                    1.00E+05        7.00E+00        4.00E+00        9.00E-01        1.00E+01        0.00E+00
   11 Aldrin                  1.00E-01        2.80E+01        2.00E+00        1.00E-01        3.00E+02        0.00E+00
   12 Aliette                 1.20E+05        1.00E-01        1.00E-01        9.00E-01        2.00E+01        0.00E+00
   13 Ally                    9.50E+03        1.20E+02        3.00E+01        8.00E-01        3.50E+01        0.00E+00
   14 Amdro                   0.00E+00        1.00E+01        9.90E+01        1.00E+00        7.30E+05        0.00E+00
   15 Amiben                  9.00E+05        1.40E+01        7.00E+00        9.00E-01        1.50E+01        0.00E+00
   16 Amid-Thin W             1.00E+02        1.00E+01        5.00E+00        6.00E-01        1.00E+02        0.00E+00
   17 Amitrol T               3.60E+05        1.40E+01        5.00E+00        9.00E-01        1.00E+02        0.00E+00
   18 Ammo                    0.00E+00        3.00E+01        5.00E+00        4.00E-01        1.00E+05        0.00E+00
   19 Antor                   1.05E+02        2.10E+01        1.00E+01        4.00E-01        1.40E+03        0.00E+00
   20 A-Rest                  6.50E+02        1.20E+02        3.00E+01        5.00E-01        1.20E+02        0.00E+00
   21 Arsenal                 1.10E+04        9.00E+01        3.00E+01        9.00E-01        1.00E+02        0.00E+00
   22 Arsonate                1.00E+06        1.00E+02        3.00E+01        9.00E-01        1.00E+04        0.00E+00
   23 Asana                   0.00E+00        3.50E+01        8.00E+00        4.00E-01        5.30E+03        0.00E+00
   24 Assert                  1.37E+03        3.50E+01        1.80E+01        6.00E-01        6.60E+01        0.00E+00
   25 Assert                  8.75E+02        3.50E+01        1.80E+01        6.00E-01        3.50E+01        0.00E+00
   26 Assure                  3.00E-01        6.00E+01        1.50E+01        2.00E-01        5.10E+02        0.00E+00
   27 Asulox                  5.50E+05        7.00E+00        3.00E+00        9.00E-01        4.00E+01        0.00E+00
   28 Avenge                  8.17E+05        1.00E+02        3.00E+01        9.00E-01        5.45E+04        0.00E+00
   29 Azodrin                 1.00E+06        3.00E+01        2.00E+00        9.00E-01        1.00E+00        0.00E+00
   30 Balan                   1.00E-01        3.00E+01        1.00E+01        2.00E-01        9.00E+03        0.00E+00
   31 Banol                   1.00E+06        3.00E+01        1.50E+01        9.00E-01        1.00E+06        0.00E+00
   32 Banvel                  4.00E+05        1.40E+01        9.00E+00        6.00E-01        2.00E+00        0.00E+00
   33 Basagran                2.30E+06        2.00E+01        2.00E+00        6.00E-01        3.40E+01        0.00E+00
   34 Basta                   1.37E+06        7.00E+00        4.00E+00        9.00E-01        1.00E+02        0.00E+00
   35 Baygon                  1.80E+03        3.00E+01        9.90E+01        1.00E+00        3.00E+01        0.00E+00
   36 Bayleton                7.15E+01        2.60E+01        8.00E+00        3.00E-01        3.00E+02        0.00E+00
   37 Baytex                  4.20E+00        3.40E+01        2.00E+00        6.00E-01        1.50E+03        0.00E+00
   38 Baythroid               0.00E+00        3.00E+01        5.00E+00        4.00E-01        1.00E+05        0.00E+00
   39 Benlate                 2.00E+00        2.40E+02        6.00E+00        3.00E-01        1.90E+03        0.00E+00
   40 Benzex                  1.00E-01        6.00E+02        3.00E+00        1.00E-01        5.50E+04        0.00E+00
   41 Betamix                 4.70E+00        3.00E+01        5.00E+00        7.00E-01        2.40E+03        0.00E+00
   42 Betanex                 8.00E+00        3.00E+01        5.00E+00        7.00E-01        1.50E+03        0.00E+00
   43 Bidrin                  1.00E+06        2.80E+01        2.00E+01        7.00E-01        7.50E+01        0.00E+00
   44 Bladex                  1.70E+02        1.40E+01        5.00E+00        6.00E-01        1.90E+02        0.00E+00
   45 Bolero                  2.80E+01        2.10E+01        7.00E+00        7.00E-01        9.00E+02        0.00E+00
   46 Bolstar                 3.00E-01        1.40E+02        5.00E-01        6.00E-01        1.20E+04        0.00E+00
   47 Bordermaster            5.00E+00        2.50E+01        8.00E+00        5.00E-01        1.00E+03        0.00E+00
   48 Botran                  7.00E+00        1.00E+01        4.00E+00        5.00E-01        1.00E+03        0.00E+00
   49 Bravo                   6.00E-01        3.00E+01        5.00E+00        5.00E-01        1.38E+03        0.00E+00
   50 Brom-O-Sol              1.34E+04        5.50E+01        9.90E+01        1.00E+00        2.20E+01        0.00E+00
   51 Broot                   5.80E+01        2.00E+01        9.90E+01        1.00E+00        4.00E+02        0.00E+00
   52 Buctril                 1.00E-01        7.00E+00        3.00E+00        2.00E-01        1.00E+04        0.00E+00
   53 Butyrac Ester           8.00E+00        7.00E+00        9.00E+00        4.00E-01        5.00E+02        0.00E+00
   54 Caparol                 3.30E+01        6.00E+01        1.00E+01        5.00E-01        4.00E+02        0.00E+00
   55 Carbamate               1.20E+02        1.70E+01        3.00E+00        9.00E-01        3.00E+02        0.00E+00
   56 Carbofos                1.45E+02        2.50E+01        3.00E+00        9.00E-01        1.80E+03        0.00E+00
   57 Carsoron                2.12E+01        6.00E+01        5.00E+00        4.00E-01        4.00E+02        0.00E+00
   58 Carzol                  5.00E+05        1.00E+02        3.00E+01        9.00E-01        1.00E+06        0.00E+00
   59 Cerone                  1.24E+06        1.00E+01        5.00E+00        9.00E-01        1.00E+05        0.00E+00
   60 Chem-Hoe                2.50E+02        1.00E+01        2.00E+00        5.00E-01        2.00E+02        0.00E+00
   61 Chlordane               1.00E-01        1.00E+02        2.50E+00        1.00E-01        1.00E+05        0.00E+00
   62 Chopper                 5.00E+05        9.00E+01        3.00E+01        8.00E-01        1.00E+02        0.00E+00
   63 Classic                 1.20E+03        4.00E+01        1.50E+01        9.00E-01        1.10E+02        0.00E+00
   64 Cobra                   1.00E-01        3.00E+00        2.00E+00        2.00E-01        1.00E+05        0.00E+00
   65 Comite                  5.00E-01        5.60E+01        5.00E+00        2.00E-01        4.00E+03        0.00E+00
   66 Command                 1.00E+03        2.40E+01        3.00E+00        8.00E-01        3.00E+02        0.00E+00
   67 Cotoran                 1.10E+02        8.50E+01        3.00E+01        5.00E-01        1.00E+02        0.00E+00
   68 Counter                 5.00E+00        5.00E+00        2.50E+00        6.00E-01        5.00E+02        0.00E+00
   69 Crossbow                2.10E+06        4.60E+01        1.50E+01        9.00E-01        2.00E+01        0.00E+00
   70 Curacron                2.80E+01        8.00E+00        3.00E+00        9.00E-01        2.00E+03        0.00E+00
   71 Cygon                   3.98E+04        7.00E+00        3.00E+00        9.00E-01        2.00E+01        0.00E+00
   72 Cyprex                  7.00E+02        2.00E+01        1.00E+01        5.00E-01        1.00E+05        0.00E+00
   73 Cythion                 1.30E+02        1.00E+00        3.00E+00        9.00E-01        1.80E+03        0.00E+00
   74 Dacamine                8.90E+02        1.00E+01        5.00E+00        4.00E-01        2.00E+01        0.00E+00
   75 Dacthal                 5.00E-01        1.00E+02        1.00E+01        3.00E-01        5.00E+03        0.00E+00
   76 Dacthal                 5.00E-01        2.00E+01        1.00E+01        3.00E-01        5.00E+03        0.00E+00
   77 D. Monoacid             3.00E+03        1.00E+01        9.90E+01        1.00E+00        2.00E+01        0.00E+00
   78 D. Diacid               5.78E+03        3.00E+02        9.90E+01        1.00E+00        2.00E+00        0.00E+00
   79 Dalapon                 8.00E+05        3.00E+01        3.70E+01        9.00E-01        1.00E+00        0.00E+00
   80 Dasanit                 0.00E+00        2.40E+01        4.00E+00        9.00E-01        1.00E+04        0.00E+00
   81 DDT                     1.00E-01        1.20E+02        1.00E+01        1.00E-01        2.40E+05        0.00E+00
   82 Dedweed                 8.66E+05        2.50E+01        7.00E+00        9.00E-01        2.00E+01        0.00E+00
