  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
    1 TR2W40LP POWE   16237   17861     320   12000      30     0.3    0.00   0.007   2.000   0.100   0.680   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    2 TR2W40GS POWE   16600   18260     320   12000      30     0.3    0.00   0.007   2.000   0.100   0.530   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    3 TR2W40DS POWE   16600   18260     320   12000      30     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    4 TR2W55LP POWE   22000   24200     340   12000      41     0.3    0.00   0.007   2.000   0.100   0.680   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    5 TR2W55GS POWE   22000   24200     340   12000      41     0.3    0.00   0.007   2.000   0.100   0.530   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    6 TR2W55DS POWE   22000   24200     340   12000      41     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    7 TR2W85LP POWE   34200   37620     550   12000      63     0.3    0.00   0.007   2.000   0.100   0.680   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    8 TR2W85GS POWE   34200   37620     550   12000      63     0.3    0.00   0.007   2.000   0.100   0.530   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
    9 TR2W85DS POWE   34200   37620     550   12000      63     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   10 TR2100LP POWE   43400   47740     525   12000      75     0.3    0.00   0.007   2.000   0.100   0.680   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   11 HORSE    POWE    2190    2409     900    9000       0     0.3    3.22   1.000   0.002   0.100   0.000   0.600   0.885   0.750   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 HORSE O                    
   12 TR2100DS POWE   43400   47740     525   12000      75     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   15 TR2135DS POWE   56288   61916     640   12000     101     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   18 TR2160DS POWE   71619   78781     660   12000     119     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   21 TR2175DS POWE   84254   92679     660   12000     130     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   24 TR2205DS POWE  103428  113771     685   12000     153     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   27 TR2225DS POWE  116240  127864     800   12000     168     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   30 TR2290DS POWE  147253  161978     999   12000     216     0.3    0.00   0.007   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   33 TR4W40DS POWE   15908   17499     320   12000      30     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   36 TR4W55DS POWE   18650   20515     340   12000      41     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   39 TR4W85DS POWE   29862   32848     550   12000      63     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   42 TR4100DS POWE   38492   42342     525   12000      75     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   45 TR4135DS POWE   54791   60270     640   12000     101     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   48 TR4160DS POWE   69716   76687     660   12000     119     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   51 TR4175DS POWE   81881   90069     660   12000     130     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   54 TR4205DS POWE  100515  110567     685   12000     153     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   57 TR4225DS POWE  127000  139700     800   12000     168     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   60 TR4290DS POWE  143107  157418     999   12000     216     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 TRACTOR                    
   63 4W40HPDS POWE  159080  174990     320   12000      30     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   66 4W55HPDS POWE   18650   20515     340   12000      41     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   69 4W85HPDS POWE   29862   32848     550   12000      63     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   72 4W100DS  POWE   38492   42342     525   12000      75     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   75 4W135DS  POWE   54791   60270     640   12000     101     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   81 4W175DS  POWE   81881   90069     660   12000     130     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   84 4W205DS  POWE  100515  110567     685   12000     153     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
   87 4W225DS  POWE  112969  124266     800   12000     168     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 4W ASST                    
